Категория;Оригинал;Перевод;Пояснение;Смотри также;Комментарий
Псевдонимы;Azrael;Азраил;Религиозные воины-мстители, агенты Ордена Святого Дюма, получившие прозвище, вдохновлённое ангелом смерти Азраилом.;Жан-Поль Валли;
Псевдонимы;Aztek;Ацтек;Супергерой города Вэнити, избранный богом-покровителем ацтеков Кетцалькоатль.;Уно, Найели Констант;
Псевдонимы;B'wana Beast;Бвана Зверь;Супергерой, умеющий общаться с животными и объединять их в могущественных гибридных созданий.;Майкл Максвелл;«Бвана» (bwana) — это обращение на суахили, означающее «господин» или «сэр». Таким образом, фактически имя персонажа может быть переведено как «Мистер Зверь». [Прим. D.Crane]
Псевдонимы;Bagman;Торба;Злодей, способный менять форму тела и удерживать жертв внутри себя.;;
Псевдонимы;Balloon Buster;Истребитель аэростатов;Лётчик-ас Первой мировой войны, специализирующийся на уничтожении вражеских аэростатов.;Стив Сэвидж;
Псевдонимы;Bane;Бэйн;Международный суперзлодей с невероятной силой от препарата Веном.;;
Псевдонимы;Baron Blitzkrieg;Барон Блицкриг;Нацистский суперзлодей времён Второй мировой войны, получивший силы через экспериментальную операцию.;;
Псевдонимы;Baroness Blitzkrieg;Баронесса Блицкриг;Нацистская суперзлодейка, потомка Барона Блицкрига, охотившаяся на семьи супергероев.;Барон Блицкриг;
Псевдонимы;Bat-Girl;Бэт-гёрл;Юная напарница первой Бэтвумен.;Бетти Кейн;
Псевдонимы;Bat-Man of China;Бэт-мен Китая;Китайский аналог Бэтмена, участник Лиги Справедливости Китая.;Ван Байси;
Псевдонимы;Batgirl;Бэтгёрл;Член семьи Бэтмена, напарница и помощница Тёмного рыцаря, супергероиня Готэма.;Барбара Гордон, Кассандра Кэйн, Стефани Браун;
Псевдонимы;Batman (Dark Knight);Бэтмен (Тёмный рыцарь);Защитник Готэма в костюме летучей мыши, борющийся со злом и внушающий страх преступникам.;Брюс Уэйн, Жан-Поль Валли, Дик Грейсон, Дэмиен Уэйн, Джейс Фокс, Терри Макгиннис;
Псевдонимы;Batman of Japan;Бэтмен Японии;Японский аналог Бэтмена.;Дзиро Осаму;
Псевдонимы;Batman Who Laughs;Бэтмен, который смеётся;Превратившийся в чудовище Брюс Уэйн с Земли –22, отравленный ядом Джокера, из Тёмной Мультвселенной.;Брюс Уэйн;
Псевдонимы;Batwing;Бэтвинг;Супергерой‑союзник Бэтмена, использующий высокотехнологичное снаряжение для борьбы с преступностью.;Дэвид Завимбе, Люк Фокс;
Псевдонимы;Batwoman;Бэтвумен;Женский аналог Бэтмена, обладающая схожими с ним способностями.;Кэти Кейн, Кейт Кейн, Кэрри Келли;
Псевдонимы;Beast Boy;Бистбой;Супергерой-оборотень, способный превращаться в любых животных.;Гар Логан;
Псевдонимы;Bedlam;Бедлам;Магическое существо, созданное Гарном Даанутом, которое воплотилось в теле юного Мэттью Стюарт.;Мэттью Стюарт;
Псевдонимы;Betsy Ross;Бетси Росс;Юная напарница Мисс Америки в годы Второй мировой войны.;Бетси Роуз;
Псевдонимы;Black Adam;Чёрный Адам;Обладатель сил шести египетских богов, наделённый сверхчеловеческой силой, скоростью, выносливостью, магией и бессмертием.;Тет-Адам;
Псевдонимы;Black Alice;Чёрная Алиса;Юная супергероиня, обладающая магическими способностями.;Лори Цехлин;
Псевдонимы;Black Bat;Блэк Бэт;Псевдоним, который недолгое время использовала Кассандра Кэйн, работая за пределами США.;Кассандра Кэйн;
Псевдонимы;Black Beetle;Чёрный Жук;Суперзлодей из будущего, участник Похитителей Времени, использующий скарабея расы Рич.;;
Псевдонимы;Black Canary;Чёрная Канарейка;Супергероиня, обладающая мощным звуковым криком и выдающимися навыками боевых искусств, разведки и стратегического мышления.;Дина Лэнс, Дина Дрейк;
Псевдонимы;Black Condor;Чёрный Кондор;Супергерой с силой полёта, использующий телекинез и оружие в борьбе со злом.;Ричард Грэй мл., Райан Кендалл, Джон Трухильо;
